doi,year,title,venue,research_question,method,sensor,agent,host,support,validation_design,class_balance_reported,accuracy_metric,accuracy_value,notes
10.20944/preprints201910.0145.v1,2019,Assessing Legacy Effects of Wildfires on the Crown Structure of Fire-Tolerant Eucalypt Trees Using Airborne LiDAR Data,Remote Sensing,RQ3,"individual tree crown metrics from airborne lidar across four wildfire severity classes, validated with field measurements","airborne lidar, field measurements","wildfire, 2009","fire-tolerant eucalypt, temperate Australia","individual tree crown, 51 plots of 0.05 ha","field-validated across unburnt, low, moderate and high severity","yes, four severity types across 51 plots",significance of structural differences,significant differences in field-assessed and lidar crown attributes across severity types,"Structural legacy still detectable 8.5 years after the event, which sets a persistence expectation for a structural signal."
10.1016/j.rse.2019.02.005,2019,Estimating prescribed fire impacts and post-fire tree survival in eucalyptus forests of Western Australia with L-band SAR data,Remote Sensing of Environment,RQ3,multi-temporal Radar Burn Ratio relating backscatter change to burn outcome and post-fire tree survival,PALSAR-2 L-band SAR,prescribed fire,"eucalypt forest, Western Australia",not stated,not stated in abstract,no,not stated in abstract,not stated in abstract,"Radar index tuned to understorey and surface fuel change, a lower-canopy signal that optical sensors miss."
10.1016/j.foreco.2019.117564,2019,Integration of WorldView-2 and airborne laser scanning data to classify defoliation levels in Quercus ilex L. Dehesas affected by root rot mortality: Management implications,Forest Ecology and Management,RQ3,"random forest on combined WorldView-2 bands, vegetation indices and ALS structural metrics to classify two defoliation levels at a 30% crown threshold","WorldView-2 multispectral, airborne laser scanning",Phytophthora root rot,"Quercus ilex dehesa, Spain",individual tree,not stated in abstract,no,not stated in abstract,"seven predictors selected from ALS metrics, WorldView-2 bands and indices","An ALS height percentile was retained alongside spectral predictors for defoliation classification in a low-density open canopy, the structural setting most like an open fir stand."
10.1016/j.foreco.2018.12.052,2019,Forest dieback processes in the Central European Mountains in the context of terrain topography and selected stand attributes,Forest Ecology and Management,RQ3,lidar and aerial imagery with terrain and stand attributes to characterise dieback patterns,"airborne lidar, aerial imagery","climate change, insect pests or pollution, explicitly not separated",Central European mountain forest,stand,not stated in abstract,no,not stated in abstract,not stated in abstract,"States plainly that dieback is characterised by high variability and is independent of whether it is caused by climate, insects or pollution, which is the null this project is testing against."
10.3390/rs11040384,2019,Boreal Forest Snow Damage Mapping Using Multi-Temporal Sentinel-1 Data,Remote Sensing,RQ3,"improved k nearest neighbour, logistic regression and support vector machine on Sentinel-1 time series",Sentinel-1 C-band SAR,"snow load damage, late 2018 event","boreal forest, northern Finland",not stated,official snow damage recordings from a large event,no,not stated in abstract,not stated in abstract,"Radar mapping of one of the least-studied abiotic agents, using an operational damage record as reference."
10.1016/j.isprsjprs.2019.03.018,2019,A new method of equiangular sectorial voxelization of single-scan terrestrial laser scanning data and its applications in forest defoliation estimation,Isprs Journal of Photogrammetry and Remote Sensing,RQ2;RQ3,equiangular sectorial voxelization of single-scan TLS with point density metrics regressed on defoliation,single-scan terrestrial laser scanning,"defoliation, agent not identified",48 plots and 1098 individual trees,individual tree and plot,linear regression against measured defoliation,no,R squared and RMSE,"R squared 0.89, RMSE 12 percent of defoliation","Among the strongest structure-to-defoliation relationships in the set, from a single scan with no multitemporal requirement."
10.1016/j.ecolind.2019.03.036,2019,Tree defoliation classification based on point distribution features derived from single-scan terrestrial laser scanning data,Ecological Indicators,RQ3,sixty point-distribution features from single-scan TLS classified into three defoliation classes at tree and plot scale,"single-scan terrestrial laser scanning, mono-temporal",pest insects in plantations,"plantation trees, species not stated",individual tree and plot,not stated in abstract,no,not stated in abstract,"three classes: healthy or slightly, moderately, and severely defoliated","Structure alone grades insect defoliation severity from a single date, which removes the need for a pre-disturbance acquisition."
10.1016/j.foreco.2019.117586,2019,Structural development following stand-replacing disturbance in a boreal mixedwood forest,not stated,RQ3,"about 7000 ALS-derived stem size distributions over a 50-year disturbance chronosequence, compared by disturbance type and species group",airborne laser scanning,"stand-replacing disturbance types, including harvest and fire","boreal mixedwood, Alberta","stand, about 7000 distributions",chronosequence,no,not stated in abstract,not stated in abstract,"Compares structural development pathways between disturbance types at large sample size. It describes differences, it does not classify agent."
10.1088/1755-1315/237/5/052004,2019,Monitoring Broadleaf Forest Pest Based on L-Band SAR Tomography,IOP Conference Series: Earth and Environment,RQ3,"simulation of L-band tomographic SAR echoes for normal and pest-affected forest, then 3D structure extraction",simulated L-band tomographic SAR (PolSAR Pro),broadleaf forest pest,"broadleaf forest, simulated",simulated 3D scene,"simulation only, no field validation",no,none reported,differences between normal and pest forest demonstrated qualitatively,Explicitly proposes monitoring forest pest by extracting 3D structural information from radar tomography. The idea exists; the demonstration is simulated only.
10.1109/igarss.2019.8900522,2019,Assessing Post-Fire Tree Mortality and Biomass Change by Integrating Lidar and Hyperspectral data,IEEE International Geoscience and Remote Sensing Symposium,RQ2;RQ3,fusion of lidar and hyperspectral with field observations across a burn severity gradient,"airborne lidar, hyperspectral, field observations",wildfire,"Pine Barrens mixed forest, eastern USA",not stated,field observations across a burn gradient,no,not stated in abstract,not stated in abstract,Structure and spectra fused for mortality and biomass change under one agent.
10.14214/df.277,2019,Utilizing multispectral lidar in the detection of declined trees,Dissertationes Forestales,RQ3,multispectral terrestrial lidar for detection and assessment of tree decline caused by different stressors,multispectral terrestrial lidar,"multiple stressors, insects and pathogens and heat",not stated in the abstract,individual tree,not stated in abstract,no,not stated in abstract,not stated in abstract,Doctoral thesis. Explicitly frames multispectral lidar as giving three-dimensional and spectral information simultaneously for decline caused by different stressors. Flagged for full-text check on whether stressors are separated.
10.1016/j.rse.2018.07.024,2018,Three decades of forest structural dynamics over Canada's forested ecosystems using Landsat time-series and lidar plots,Remote Sensing of Environment,RQ2;RQ3,lidar plot data combined with Landsat pixel composites to produce annual structure maps over three decades,"airborne lidar transect plots, Landsat time series","forest disturbance, general",Canada's forested ecosystems,"pixel, national",lidar plots as calibration and validation,no,not stated in abstract,not stated in abstract,The national Canadian structure product a British Columbia design would sit against.
10.1111/1365-2745.13076,2018,"Fire, fragmentation, and windstorms: A recipe for tropical forest degradation",Journal of Ecology,RQ3,pre and post-windstorm field mortality with airborne lidar tree heights and canopy gap metrics across a replicated burn experiment,"airborne lidar, field plots","windstorm, fire, and edge effects, interacting","southeastern Amazonian forest, three 50 ha plots","plot, individual tree over 10 cm DBH",replicated fire experiment with control and two burn frequencies,"yes, three treatment plots stated",mortality rate and mode of death,"greater windstorm damage in burned plots than control, exact figures not extracted from abstract","Rare experimental test of interaction between two disturbance agents on the same forest. Agents are wind and fire, both abiotic."
